artifact,path,role,records,bytes,sha256,notes
fused_triples_input,data\processed\fused_triples.jsonl,stage4 canonical input,554,215892,b2dcab4262139ea5e4cfa6d6bd770d3720604b588b7d74486e7a9e2b682ce4b9,bad_json=0; missing_core=0
open_targets_input,data\external\sma_gda_baseline.jsonl,baseline input,164,19677,f02cb91fb0e6e75debcd549b615aadb6d7a50965cd9ea3bff3eebb13444b76cb,bad_json=0
analytics_metrics,data\processed\analytics_metrics.csv,stage4 canonical output,607,30012,3e3f8c1653a19cd5adcc303664b4a528b37e20dbf798f19a3a5cd668b9ce3116,communities=56
graph_viewer,docs\graph_viewer.html,stage4 canonical output,,322717,fe93189804ef2a982bb6c16147c8266e139fe3bc1a90407c6734284bd1d050d0,interactive PyVis HTML
analytics_metrics_run_snapshot,artifacts\runs\stage4_graph_database_2026-06-09\analytics_metrics.csv,dated run snapshot,607,30012,3e3f8c1653a19cd5adcc303664b4a528b37e20dbf798f19a3a5cd668b9ce3116,fixed-seed final snapshot
graph_viewer_run_snapshot,artifacts\runs\stage4_graph_database_2026-06-09\graph_viewer.html,dated run snapshot,,322717,fe93189804ef2a982bb6c16147c8266e139fe3bc1a90407c6734284bd1d050d0,fixed-seed final snapshot
