artifact,path,records,bytes,sha256,notes
topic_balanced_pubmed_abstracts,artifacts\runs\stage1_topic_balanced_pubmed_full_2026-06-09\outputs\data\raw\topic_balanced_pubmed_sma_abstracts.jsonl,27,39198,5aa3f22b46615302f8911c84f0978632215bf254001a68eba79e813b2abfdcdd,not promoted to canonical raw data
topic_queries,artifacts\runs\stage1_topic_balanced_pubmed_full_2026-06-09\topic_queries.json,59,19842,405b87ff1f84b5b3a5a586c5bce5ff2c24a271bcbf86a1f81101eeca713ee659,not promoted to canonical raw data
