artifact,path,records,bytes,sha256,notes
payloads,artifacts\runs\conflict_adjudication_live_probe_2026-06-10_125030\payloads.jsonl,1,6977,6c060614ce2f4829cd20763ff7da9d89cd04642d354021bdf9e29c22a2920017,dry-run evidence contexts for conflict adjudication
adjudications,artifacts\runs\conflict_adjudication_live_probe_2026-06-10_125030\adjudications.jsonl,1,811,b65240107919607b860a89bb3c6d8c8f0dc33a3b6e45327db3771c38c06afbf8,live LLM adjudications
unresolved,artifacts\runs\conflict_adjudication_live_probe_2026-06-10_125030\unresolved.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,insufficient evidence or unresolved decisions
rejected_or_failed,artifacts\runs\conflict_adjudication_live_probe_2026-06-10_125030\rejected_or_failed.jsonl,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,failed LLM calls or invalid adjudication JSON
validation_summary,artifacts\runs\conflict_adjudication_live_probe_2026-06-10_125030\validation_summary.json,,770,faed1f8ef9e8dc7e1d0a83fcd596bc554de49f051fc27145cbf8d9219fee22c8,run validation summary
